StateFIPS,State,Year,Number of people by Demographic,Race Ethnicity
1,Alabama,2018,"3,382,325",White including Hispanic
1,Alabama,2018,"1,312,093",Black including Hispanic
1,Alabama,2018,"84,794",Other including Hispanic
1,Alabama,2018,"33,838",American Indian/Alaskan Native including Hispanic
1,Alabama,2018,"215,281",Hispanic All Races
1,Alabama,2018,"1,509,303",All Non-White Races including Hispanic
1,Alabama,2019,"3,390,485",White including Hispanic
1,Alabama,2019,"1,315,856",Black including Hispanic
1,Alabama,2019,"87,405",Other including Hispanic
1,Alabama,2019,"34,303",American Indian/Alaskan Native including Hispanic
1,Alabama,2019,"220,789",Hispanic All Races
1,Alabama,2019,"1,517,480",All Non-White Races including Hispanic
1,Alabama,2020,"3,465,758",White including Hispanic
1,Alabama,2020,"1,349,908",Black including Hispanic
1,Alabama,2020,"91,337",Other including Hispanic
1,Alabama,2020,"35,466",American Indian/Alaskan Native including Hispanic
1,Alabama,2020,"233,290",Hispanic All Races
1,Alabama,2020,"1,559,045",All Non-White Races including Hispanic
2,Alaska,2018,"480,179",White including Hispanic
2,Alaska,2018,"27,507",Black including Hispanic
2,Alaska,2018,"56,049",Other including Hispanic
2,Alaska,2018,"113,507",American Indian/Alaskan Native including Hispanic
2,Alaska,2018,"53,369",Hispanic All Races
2,Alaska,2018,"256,445",All Non-White Races including Hispanic
2,Alaska,2019,"476,519",White including Hispanic
2,Alaska,2019,"27,101",Black including Hispanic
2,Alaska,2019,"56,517",Other including Hispanic
2,Alaska,2019,"113,572",American Indian/Alaskan Native including Hispanic
2,Alaska,2019,"53,622",Hispanic All Races
2,Alaska,2019,"257,084",All Non-White Races including Hispanic
2,Alaska,2020,"473,697",White including Hispanic
2,Alaska,2020,"26,720",Black including Hispanic
2,Alaska,2020,"57,077",Other including Hispanic
2,Alaska,2020,"114,935",American Indian/Alaskan Native including Hispanic
2,Alaska,2020,"53,865",Hispanic All Races
2,Alaska,2020,"258,744",All Non-White Races including Hispanic
4,Arizona,2018,"5,923,424",White including Hispanic
4,Arizona,2018,"367,827",Black including Hispanic
4,Arizona,2018,"208,858",Other including Hispanic
4,Arizona,2018,"381,556",American Indian/Alaskan Native including Hispanic
4,Arizona,2018,"2,258,904",Hispanic All Races
4,Arizona,2018,"1,240,804",All Non-White Races including Hispanic
4,Arizona,2019,"6,013,191",White including Hispanic
4,Arizona,2019,"381,604",Black including Hispanic
4,Arizona,2019,"217,667",Other including Hispanic
4,Arizona,2019,"386,710",American Indian/Alaskan Native including Hispanic
4,Arizona,2019,"2,313,157",Hispanic All Races
4,Arizona,2019,"1,278,652",All Non-White Races including Hispanic
4,Arizona,2020,"5,901,572",White including Hispanic
4,Arizona,2020,"382,887",Black including Hispanic
4,Arizona,2020,"220,693",Other including Hispanic
4,Arizona,2020,"381,539",American Indian/Alaskan Native including Hispanic
4,Arizona,2020,"2,303,083",Hispanic All Races
4,Arizona,2020,"1,276,414",All Non-White Races including Hispanic
5,Arkansas,2018,"2,381,131",White including Hispanic
5,Arkansas,2018,"473,381",Black including Hispanic
5,Arkansas,2018,"64,893",Other including Hispanic
5,Arkansas,2018,"30,559",American Indian/Alaskan Native including Hispanic
5,Arkansas,2018,"230,632",Hispanic All Races
5,Arkansas,2018,"631,030",All Non-White Races including Hispanic
5,Arkansas,2019,"2,384,331",White including Hispanic
5,Arkansas,2019,"475,106",Black including Hispanic
5,Arkansas,2019,"66,699",Other including Hispanic
5,Arkansas,2019,"31,022",American Indian/Alaskan Native including Hispanic
5,Arkansas,2019,"236,539",Hispanic All Races
5,Arkansas,2019,"636,654",All Non-White Races including Hispanic
5,Arkansas,2020,"2,371,688",White including Hispanic
5,Arkansas,2020,"474,311",Black including Hispanic
5,Arkansas,2020,"68,538",Other including Hispanic
5,Arkansas,2020,"31,817",American Indian/Alaskan Native including Hispanic
5,Arkansas,2020,"243,795",Hispanic All Races
5,Arkansas,2020,"640,544",All Non-White Races including Hispanic
6,California,2018,"28,344,812",White including Hispanic
6,California,2018,"2,551,709",Black including Hispanic
6,California,2018,"1,588,179",Other including Hispanic
6,California,2018,"656,978",American Indian/Alaskan Native including Hispanic
6,California,2018,"15,402,735",Hispanic All Races
6,California,2018,"11,092,651",All Non-White Races including Hispanic
6,California,2019,"28,233,838",White including Hispanic
6,California,2019,"2,553,676",Black including Hispanic
6,California,2019,"1,613,791",Other including Hispanic
6,California,2019,"661,770",American Indian/Alaskan Native including Hispanic
6,California,2019,"15,488,144",Hispanic All Races
6,California,2019,"11,203,772",All Non-White Races including Hispanic
6,California,2020,"28,192,365",White including Hispanic
6,California,2020,"2,559,854",Black including Hispanic
6,California,2020,"1,642,643",Other including Hispanic
6,California,2020,"672,092",American Indian/Alaskan Native including Hispanic
6,California,2020,"15,706,102",Hispanic All Races
6,California,2020,"11,307,373",All Non-White Races including Hispanic
8,Colorado,2018,"4,955,043",White including Hispanic
8,Colorado,2018,"260,756",Black including Hispanic
8,Colorado,2018,"178,515",Other including Hispanic
8,Colorado,2018,"92,940",American Indian/Alaskan Native including Hispanic
8,Colorado,2018,"1,234,141",Hispanic All Races
8,Colorado,2018,"742,112",All Non-White Races including Hispanic
8,Colorado,2019,"5,000,945",White including Hispanic
8,Colorado,2019,"265,056",Black including Hispanic
8,Colorado,2019,"183,397",Other including Hispanic
8,Colorado,2019,"94,810",American Indian/Alaskan Native including Hispanic
8,Colorado,2019,"1,255,050",Hispanic All Races
8,Colorado,2019,"757,541",All Non-White Races including Hispanic
8,Colorado,2020,"5,012,802",White including Hispanic
8,Colorado,2020,"268,261",Black including Hispanic
8,Colorado,2020,"188,942",Other including Hispanic
8,Colorado,2020,"96,445",American Indian/Alaskan Native including Hispanic
8,Colorado,2020,"1,276,667",Hispanic All Races
8,Colorado,2020,"771,506",All Non-White Races including Hispanic
9,Connecticut,2018,"2,855,565",White including Hispanic
9,Connecticut,2018,"431,241",Black including Hispanic
9,Connecticut,2018,"87,651",Other including Hispanic
9,Connecticut,2018,"21,650",American Indian/Alaskan Native including Hispanic
9,Connecticut,2018,"590,328",Hispanic All Races
9,Connecticut,2018,"718,996",All Non-White Races including Hispanic
9,Connecticut,2019,"2,835,463",White including Hispanic
9,Connecticut,2019,"437,841",Black including Hispanic
9,Connecticut,2019,"89,545",Other including Hispanic
9,Connecticut,2019,"22,313",American Indian/Alaskan Native including Hispanic
9,Connecticut,2019,"601,081",Hispanic All Races
9,Connecticut,2019,"730,559",All Non-White Races including Hispanic
9,Connecticut,2020,"2,849,301",White including Hispanic
9,Connecticut,2020,"450,280",Black including Hispanic
9,Connecticut,2020,"92,617",Other including Hispanic
9,Connecticut,2020,"23,309",American Indian/Alaskan Native including Hispanic
9,Connecticut,2020,"623,862",Hispanic All Races
9,Connecticut,2020,"750,959",All Non-White Races including Hispanic
10,Delaware,2018,"670,278",White including Hispanic
10,Delaware,2018,"222,445",Black including Hispanic
10,Delaware,2018,"27,006",Other including Hispanic
10,Delaware,2018,"6,543",American Indian/Alaskan Native including Hispanic
10,Delaware,2018,"91,407",Hispanic All Races
10,Delaware,2018,"296,707",All Non-White Races including Hispanic
10,Delaware,2019,"673,449",White including Hispanic
10,Delaware,2019,"226,566",Black including Hispanic
10,Delaware,2019,"27,866",Other including Hispanic
10,Delaware,2019,"6,696",American Indian/Alaskan Native including Hispanic
10,Delaware,2019,"94,154",Hispanic All Races
10,Delaware,2019,"303,219",All Non-White Races including Hispanic
10,Delaware,2020,"680,752",White including Hispanic
10,Delaware,2020,"232,465",Black including Hispanic
10,Delaware,2020,"28,846",Other including Hispanic
10,Delaware,2020,"6,950",American Indian/Alaskan Native including Hispanic
10,Delaware,2020,"98,289",Hispanic All Races
10,Delaware,2020,"311,134",All Non-White Races including Hispanic
11,District of Columbia,2018,"319,355",White including Hispanic
11,District of Columbia,2018,"328,536",Black including Hispanic
11,District of Columbia,2018,"19,909",Other including Hispanic
11,District of Columbia,2018,"4,264",American Indian/Alaskan Native including Hispanic
11,District of Columbia,2018,"78,217",Hispanic All Races
11,District of Columbia,2018,"384,792",All Non-White Races including Hispanic
11,District of Columbia,2019,"324,529",White including Hispanic
11,District of Columbia,2019,"326,019",Black including Hispanic
11,District of Columbia,2019,"20,590",Other including Hispanic
11,District of Columbia,2019,"4,318",American Indian/Alaskan Native including Hispanic
11,District of Columbia,2019,"79,838",Hispanic All Races
11,District of Columbia,2019,"383,724",All Non-White Races including Hispanic
11,District of Columbia,2020,"319,126",White including Hispanic
11,District of Columbia,2020,"313,838",Black including Hispanic
11,District of Columbia,2020,"20,597",Other including Hispanic
11,District of Columbia,2020,"4,138",American Indian/Alaskan Native including Hispanic
11,District of Columbia,2020,"78,854",Hispanic All Races
11,District of Columbia,2020,"370,967",All Non-White Races including Hispanic
12,Florida,2018,"16,429,818",White including Hispanic
12,Florida,2018,"3,603,310",Black including Hispanic
12,Florida,2018,"464,488",Other including Hispanic
12,Florida,2018,"108,152",American Indian/Alaskan Native including Hispanic
12,Florida,2018,"5,496,345",Hispanic All Races
12,Florida,2018,"4,825,108",All Non-White Races including Hispanic
12,Florida,2019,"16,585,364",White including Hispanic
12,Florida,2019,"3,650,637",Black including Hispanic
12,Florida,2019,"479,790",Other including Hispanic
12,Florida,2019,"111,067",American Indian/Alaskan Native including Hispanic
12,Florida,2019,"5,621,362",Hispanic All Races
12,Florida,2019,"4,906,692",All Non-White Races including Hispanic
12,Florida,2020,"16,609,348",White including Hispanic
12,Florida,2020,"3,675,616",Black including Hispanic
12,Florida,2020,"495,467",Other including Hispanic
12,Florida,2020,"114,138",American Indian/Alaskan Native including Hispanic
12,Florida,2020,"5,730,412",Hispanic All Races
12,Florida,2020,"4,960,584",All Non-White Races including Hispanic
13,Georgia,2018,"6,355,665",White including Hispanic
13,Georgia,2018,"3,410,817",Black including Hispanic
13,Georgia,2018,"229,649",Other including Hispanic
13,Georgia,2018,"54,899",American Indian/Alaskan Native including Hispanic
13,Georgia,2018,"1,015,903",Hispanic All Races
13,Georgia,2018,"4,163,724",All Non-White Races including Hispanic
13,Georgia,2019,"6,384,844",White including Hispanic
13,Georgia,2019,"3,465,113",Black including Hispanic
13,Georgia,2019,"237,841",Other including Hispanic
13,Georgia,2019,"56,234",American Indian/Alaskan Native including Hispanic
13,Georgia,2019,"1,042,080",Hispanic All Races
13,Georgia,2019,"4,243,176",All Non-White Races including Hispanic
13,Georgia,2020,"6,406,015",White including Hispanic
13,Georgia,2020,"3,518,355",Black including Hispanic
13,Georgia,2020,"246,627",Other including Hispanic
13,Georgia,2020,"57,736",American Indian/Alaskan Native including Hispanic
13,Georgia,2020,"1,076,724",Hispanic All Races
13,Georgia,2020,"4,319,785",All Non-White Races including Hispanic
15,Hawaii,2018,"362,334",White including Hispanic
15,Hawaii,2018,"30,895",Black including Hispanic
15,Hawaii,2018,"344,768",Other including Hispanic
15,Hawaii,2018,"5,454",American Indian/Alaskan Native including Hispanic
15,Hawaii,2018,"153,250",Hispanic All Races
15,Hawaii,2018,"1,060,768",All Non-White Races including Hispanic
15,Hawaii,2019,"358,640",White including Hispanic
15,Hawaii,2019,"30,814",Black including Hispanic
15,Hawaii,2019,"345,660",Other including Hispanic
15,Hawaii,2019,"5,430",American Indian/Alaskan Native including Hispanic
15,Hawaii,2019,"154,045",Hispanic All Races
15,Hawaii,2019,"1,056,975",All Non-White Races including Hispanic
15,Hawaii,2020,"367,358",White including Hispanic
15,Hawaii,2020,"31,739",Black including Hispanic
15,Hawaii,2020,"359,120",Other including Hispanic
15,Hawaii,2020,"5,716",American Indian/Alaskan Native including Hispanic
15,Hawaii,2020,"160,077",Hispanic All Races
15,Hawaii,2020,"1,084,553",All Non-White Races including Hispanic
16,Idaho,2018,"1,631,664",White including Hispanic
16,Idaho,2018,"15,400",Black including Hispanic
16,Idaho,2018,"43,334",Other including Hispanic
16,Idaho,2018,"30,515",American Indian/Alaskan Native including Hispanic
16,Idaho,2018,"222,587",Hispanic All Races
16,Idaho,2018,"120,410",All Non-White Races including Hispanic
16,Idaho,2019,"1,664,352",White including Hispanic
16,Idaho,2019,"15,987",Black including Hispanic
16,Idaho,2019,"45,360",Other including Hispanic
16,Idaho,2019,"31,144",American Indian/Alaskan Native including Hispanic
16,Idaho,2019,"230,189",Hispanic All Races
16,Idaho,2019,"124,708",All Non-White Races including Hispanic
16,Idaho,2020,"1,716,927",White including Hispanic
16,Idaho,2020,"16,982",Black including Hispanic
16,Idaho,2020,"47,970",Other including Hispanic
16,Idaho,2020,"32,292",American Indian/Alaskan Native including Hispanic
16,Idaho,2020,"241,833",Hispanic All Races
16,Idaho,2020,"130,845",All Non-White Races including Hispanic
17,Illinois,2018,"9,767,272",White including Hispanic
17,Illinois,2018,"1,866,004",Black including Hispanic
17,Illinois,2018,"259,344",Other including Hispanic
17,Illinois,2018,"75,538",American Indian/Alaskan Native including Hispanic
17,Illinois,2018,"2,192,625",Hispanic All Races
17,Illinois,2018,"2,957,413",All Non-White Races including Hispanic
17,Illinois,2019,"9,703,046",White including Hispanic
17,Illinois,2019,"1,859,309",Black including Hispanic
17,Illinois,2019,"264,180",Other including Hispanic
17,Illinois,2019,"76,467",American Indian/Alaskan Native including Hispanic
17,Illinois,2019,"2,206,243",Hispanic All Races
17,Illinois,2019,"2,963,971",All Non-White Races including Hispanic
17,Illinois,2020,"9,773,575",White including Hispanic
17,Illinois,2020,"1,880,931",Black including Hispanic
17,Illinois,2020,"273,115",Other including Hispanic
17,Illinois,2020,"78,862",American Indian/Alaskan Native including Hispanic
17,Illinois,2020,"2,271,802",Hispanic All Races
17,Illinois,2020,"3,011,670",All Non-White Races including Hispanic
18,Indiana,2018,"5,692,714",White including Hispanic
18,Indiana,2018,"663,974",Black including Hispanic
18,Indiana,2018,"142,372",Other including Hispanic
18,Indiana,2018,"27,852",American Indian/Alaskan Native including Hispanic
18,Indiana,2018,"475,603",Hispanic All Races
18,Indiana,2018,"1,005,767",All Non-White Races including Hispanic
18,Indiana,2019,"5,703,311",White including Hispanic
18,Indiana,2019,"673,700",Black including Hispanic
18,Indiana,2019,"146,872",Other including Hispanic
18,Indiana,2019,"28,608",American Indian/Alaskan Native including Hispanic
18,Indiana,2019,"489,687",Hispanic All Races
18,Indiana,2019,"1,027,699",All Non-White Races including Hispanic
18,Indiana,2020,"5,733,020",White including Hispanic
18,Indiana,2020,"686,041",Black including Hispanic
18,Indiana,2020,"152,778",Other including Hispanic
18,Indiana,2020,"29,455",American Indian/Alaskan Native including Hispanic
18,Indiana,2020,"508,910",Hispanic All Races
18,Indiana,2020,"1,052,624",All Non-White Races including Hispanic
19,Iowa,2018,"2,857,883",White including Hispanic
19,Iowa,2018,"125,912",Black including Hispanic
19,Iowa,2018,"61,179",Other including Hispanic
19,Iowa,2018,"16,862",American Indian/Alaskan Native including Hispanic
19,Iowa,2018,"194,626",Hispanic All Races
19,Iowa,2018,"292,017",All Non-White Races including Hispanic
19,Iowa,2019,"2,858,020",White including Hispanic
19,Iowa,2019,"130,175",Black including Hispanic
19,Iowa,2019,"63,090",Other including Hispanic
19,Iowa,2019,"17,250",American Indian/Alaskan Native including Hispanic
19,Iowa,2019,"200,424",Hispanic All Races
19,Iowa,2019,"301,576",All Non-White Races including Hispanic
19,Iowa,2020,"2,878,676",White including Hispanic
19,Iowa,2020,"134,106",Black including Hispanic
19,Iowa,2020,"65,136",Other including Hispanic
19,Iowa,2020,"17,716",American Indian/Alaskan Native including Hispanic
19,Iowa,2020,"209,236",Hispanic All Races
19,Iowa,2020,"309,993",All Non-White Races including Hispanic
20,Kansas,2018,"2,514,182",White including Hispanic
20,Kansas,2018,"179,271",Black including Hispanic
20,Kansas,2018,"88,738",Other including Hispanic
20,Kansas,2018,"34,600",American Indian/Alaskan Native including Hispanic
20,Kansas,2018,"352,043",Hispanic All Races
20,Kansas,2018,"398,566",All Non-White Races including Hispanic
20,Kansas,2019,"2,510,853",White including Hispanic
20,Kansas,2019,"179,437",Black including Hispanic
20,Kansas,2019,"90,639",Other including Hispanic
20,Kansas,2019,"35,124",American Indian/Alaskan Native including Hispanic
20,Kansas,2019,"357,005",Hispanic All Races
20,Kansas,2019,"401,782",All Non-White Races including Hispanic
20,Kansas,2020,"2,527,184",White including Hispanic
20,Kansas,2020,"181,411",Black including Hispanic
20,Kansas,2020,"93,649",Other including Hispanic
20,Kansas,2020,"35,778",American Indian/Alaskan Native including Hispanic
20,Kansas,2020,"367,947",Hispanic All Races
20,Kansas,2020,"408,696",All Non-White Races including Hispanic
21,Kentucky,2018,"3,911,710",White including Hispanic
21,Kentucky,2018,"374,783",Black including Hispanic
21,Kentucky,2018,"89,032",Other including Hispanic
21,Kentucky,2018,"13,276",American Indian/Alaskan Native including Hispanic
21,Kentucky,2018,"170,925",Hispanic All Races
21,Kentucky,2018,"552,563",All Non-White Races including Hispanic
21,Kentucky,2019,"3,910,658",White including Hispanic
21,Kentucky,2019,"378,775",Black including Hispanic
21,Kentucky,2019,"91,847",Other including Hispanic
21,Kentucky,2019,"13,404",American Indian/Alaskan Native including Hispanic
21,Kentucky,2019,"175,127",Hispanic All Races
21,Kentucky,2019,"561,687",All Non-White Races including Hispanic
21,Kentucky,2020,"3,930,066",White including Hispanic
21,Kentucky,2020,"385,229",Black including Hispanic
21,Kentucky,2020,"94,968",Other including Hispanic
21,Kentucky,2020,"13,727",American Indian/Alaskan Native including Hispanic
21,Kentucky,2020,"181,904",Hispanic All Races
21,Kentucky,2020,"573,892",All Non-White Races including Hispanic
22,Louisiana,2018,"2,930,652",White including Hispanic
22,Louisiana,2018,"1,530,225",Black including Hispanic
22,Louisiana,2018,"78,881",Other including Hispanic
22,Louisiana,2018,"36,782",American Indian/Alaskan Native including Hispanic
22,Louisiana,2018,"241,936",Hispanic All Races
22,Louisiana,2018,"1,733,798",All Non-White Races including Hispanic
22,Louisiana,2019,"2,920,412",White including Hispanic
22,Louisiana,2019,"1,531,041",Black including Hispanic
22,Louisiana,2019,"80,797",Other including Hispanic
22,Louisiana,2019,"36,908",American Indian/Alaskan Native including Hispanic
22,Louisiana,2019,"247,865",Hispanic All Races
22,Louisiana,2019,"1,737,873",All Non-White Races including Hispanic
22,Louisiana,2020,"2,907,870",White including Hispanic
22,Louisiana,2020,"1,532,957",Black including Hispanic
22,Louisiana,2020,"82,957",Other including Hispanic
22,Louisiana,2020,"37,461",American Indian/Alaskan Native including Hispanic
22,Louisiana,2020,"254,000",Hispanic All Races
22,Louisiana,2020,"1,743,333",All Non-White Races including Hispanic
23,Maine,2018,"1,267,464",White including Hispanic
23,Maine,2018,"21,997",Black including Hispanic
23,Maine,2018,"23,663",Other including Hispanic
23,Maine,2018,"9,444",American Indian/Alaskan Native including Hispanic
23,Maine,2018,"22,888",Hispanic All Races
23,Maine,2018,"72,659",All Non-White Races including Hispanic
23,Maine,2019,"1,270,533",White including Hispanic
23,Maine,2019,"23,208",Black including Hispanic
23,Maine,2019,"24,340",Other including Hispanic
23,Maine,2019,"9,544",American Indian/Alaskan Native including Hispanic
23,Maine,2019,"24,098",Hispanic All Races
23,Maine,2019,"75,237",All Non-White Races including Hispanic
23,Maine,2020,"1,284,548",White including Hispanic
23,Maine,2020,"24,066",Black including Hispanic
23,Maine,2020,"25,247",Other including Hispanic
23,Maine,2020,"9,734",American Indian/Alaskan Native including Hispanic
23,Maine,2020,"25,661",Hispanic All Races
23,Maine,2020,"77,732",All Non-White Races including Hispanic
24,Maryland,2018,"3,543,575",White including Hispanic
24,Maryland,2018,"1,872,070",Black including Hispanic
24,Maryland,2018,"176,734",Other including Hispanic
24,Maryland,2018,"36,902",American Indian/Alaskan Native including Hispanic
24,Maryland,2018,"620,598",Hispanic All Races
24,Maryland,2018,"2,498,578",All Non-White Races including Hispanic
24,Maryland,2019,"3,532,244",White including Hispanic
24,Maryland,2019,"1,885,534",Black including Hispanic
24,Maryland,2019,"180,910",Other including Hispanic
24,Maryland,2019,"37,723",American Indian/Alaskan Native including Hispanic
24,Maryland,2019,"638,293",Hispanic All Races
24,Maryland,2019,"2,522,710",All Non-White Races including Hispanic
24,Maryland,2020,"3,581,329",White including Hispanic
24,Maryland,2020,"1,932,677",Black including Hispanic
24,Maryland,2020,"188,408",Other including Hispanic
24,Maryland,2020,"39,459",American Indian/Alaskan Native including Hispanic
24,Maryland,2020,"670,685",Hispanic All Races
24,Maryland,2020,"2,591,350",All Non-White Races including Hispanic
25,Massachusetts,2018,"5,565,295",White including Hispanic
25,Massachusetts,2018,"617,086",Black including Hispanic
25,Massachusetts,2018,"172,083",Other including Hispanic
25,Massachusetts,2018,"34,382",American Indian/Alaskan Native including Hispanic
25,Massachusetts,2018,"833,650",Hispanic All Races
25,Massachusetts,2018,"1,320,425",All Non-White Races including Hispanic
25,Massachusetts,2019,"5,545,565",White including Hispanic
25,Massachusetts,2019,"627,476",Black including Hispanic
25,Massachusetts,2019,"176,903",Other including Hispanic
25,Massachusetts,2019,"34,990",American Indian/Alaskan Native including Hispanic
25,Massachusetts,2019,"850,345",Hispanic All Races
25,Massachusetts,2019,"1,349,318",All Non-White Races including Hispanic
25,Massachusetts,2020,"5,625,539",White including Hispanic
25,Massachusetts,2020,"647,009",Black including Hispanic
25,Massachusetts,2020,"184,091",Other including Hispanic
25,Massachusetts,2020,"36,538",American Indian/Alaskan Native including Hispanic
25,Massachusetts,2020,"887,049",Hispanic All Races
25,Massachusetts,2020,"1,396,681",All Non-White Races including Hispanic
26,Michigan,2018,"7,916,061",White including Hispanic
26,Michigan,2018,"1,408,986",Black including Hispanic
26,Michigan,2018,"251,378",Other including Hispanic
26,Michigan,2018,"72,448",American Indian/Alaskan Native including Hispanic
26,Michigan,2018,"521,419",Hispanic All Races
26,Michigan,2018,"2,071,225",All Non-White Races including Hispanic
26,Michigan,2019,"7,904,285",White including Hispanic
26,Michigan,2019,"1,408,989",Black including Hispanic
26,Michigan,2019,"257,204",Other including Hispanic
26,Michigan,2019,"73,069",American Indian/Alaskan Native including Hispanic
26,Michigan,2019,"533,351",Hispanic All Races
26,Michigan,2019,"2,080,510",All Non-White Races including Hispanic
26,Michigan,2020,"7,959,124",White including Hispanic
26,Michigan,2020,"1,421,548",Black including Hispanic
26,Michigan,2020,"266,699",Other including Hispanic
26,Michigan,2020,"74,420",American Indian/Alaskan Native including Hispanic
26,Michigan,2020,"551,581",Hispanic All Races
26,Michigan,2020,"2,108,540",All Non-White Races including Hispanic
27,Minnesota,2018,"4,708,611",White including Hispanic
27,Minnesota,2018,"384,844",Black including Hispanic
27,Minnesota,2018,"144,609",Other including Hispanic
27,Minnesota,2018,"76,482",American Indian/Alaskan Native including Hispanic
27,Minnesota,2018,"309,182",Hispanic All Races
27,Minnesota,2018,"900,151",All Non-White Races including Hispanic
27,Minnesota,2019,"4,714,550",White including Hispanic
