StateFIPS,State,CountyFIPS,County,Year,Number of housing units with more people than rooms
1,Alabama,1001,Autauga,2018,299
1,Alabama,1001,Autauga,2019,401
1,Alabama,1001,Autauga,2020,339
1,Alabama,1003,Baldwin,2018,991
1,Alabama,1003,Baldwin,2019,"1,474"
1,Alabama,1003,Baldwin,2020,"1,280"
1,Alabama,1005,Barbour,2018,313
1,Alabama,1005,Barbour,2019,451
1,Alabama,1005,Barbour,2020,350
1,Alabama,1007,Bibb,2018,52
1,Alabama,1007,Bibb,2019,124
1,Alabama,1007,Bibb,2020,91
1,Alabama,1009,Blount,2018,339
1,Alabama,1009,Blount,2019,470
1,Alabama,1009,Blount,2020,385
1,Alabama,1011,Bullock,2018,0
1,Alabama,1011,Bullock,2019,41
1,Alabama,1011,Bullock,2020,33
1,Alabama,1013,Butler,2018,119
1,Alabama,1013,Butler,2019,190
1,Alabama,1013,Butler,2020,72
1,Alabama,1015,Calhoun,2018,772
1,Alabama,1015,Calhoun,2019,"1,111"
1,Alabama,1015,Calhoun,2020,547
1,Alabama,1017,Chambers,2018,404
1,Alabama,1017,Chambers,2019,827
1,Alabama,1017,Chambers,2020,974
1,Alabama,1019,Cherokee,2018,155
1,Alabama,1019,Cherokee,2019,200
1,Alabama,1019,Cherokee,2020,151
1,Alabama,1021,Chilton,2018,453
1,Alabama,1021,Chilton,2019,575
1,Alabama,1021,Chilton,2020,455
1,Alabama,1023,Choctaw,2018,73
1,Alabama,1023,Choctaw,2019,93
1,Alabama,1023,Choctaw,2020,52
1,Alabama,1025,Clarke,2018,167
1,Alabama,1025,Clarke,2019,245
1,Alabama,1025,Clarke,2020,177
1,Alabama,1027,Clay,2018,48
1,Alabama,1027,Clay,2019,97
1,Alabama,1027,Clay,2020,59
1,Alabama,1029,Cleburne,2018,49
1,Alabama,1029,Cleburne,2019,88
1,Alabama,1029,Cleburne,2020,80
1,Alabama,1031,Coffee,2018,272
1,Alabama,1031,Coffee,2019,487
1,Alabama,1031,Coffee,2020,444
1,Alabama,1033,Colbert,2018,83
1,Alabama,1033,Colbert,2019,309
1,Alabama,1033,Colbert,2020,105
1,Alabama,1035,Conecuh,2018,50
1,Alabama,1035,Conecuh,2019,70
1,Alabama,1035,Conecuh,2020,20
1,Alabama,1037,Coosa,2018,37
1,Alabama,1037,Coosa,2019,141
1,Alabama,1037,Coosa,2020,121
1,Alabama,1039,Covington,2018,320
1,Alabama,1039,Covington,2019,447
1,Alabama,1039,Covington,2020,319
1,Alabama,1041,Crenshaw,2018,47
1,Alabama,1041,Crenshaw,2019,110
1,Alabama,1041,Crenshaw,2020,53
1,Alabama,1043,Cullman,2018,555
1,Alabama,1043,Cullman,2019,807
1,Alabama,1043,Cullman,2020,616
1,Alabama,1045,Dale,2018,313
1,Alabama,1045,Dale,2019,451
1,Alabama,1045,Dale,2020,171
1,Alabama,1047,Dallas,2018,507
1,Alabama,1047,Dallas,2019,473
1,Alabama,1047,Dallas,2020,190
1,Alabama,1049,DeKalb,2018,745
